# 04 gate gaps freshness

Rows in registry/gate_gaps.json: 49
- CURRENT: 38
- STALE: 11

Rows:
- GAP-001 | Deploy conditional on verify | CURRENT
- GAP-002 | Production-record chain | CURRENT
- GAP-003 | Server-side ruleset | CURRENT
- GAP-004 | One-standard verifier | STALE -> scripts/verify_all.py
- GAP-005 | Held-out leak detector | CURRENT
- GAP-006 | Fix-state object transition checker | CURRENT
- GAP-007 | Honest-state ratchet | CURRENT
- GAP-008 | Block-level honest-state ratchet | CURRENT
- GAP-009 | Ratchet acknowledgement mechanism | CURRENT
- GAP-010 | Gate scorecard | STALE -> docs/gate_scorecard.json, registry/gate_scorecard.json
- GAP-011 | Architecture identity | CURRENT
- GAP-012 | Unit tests | STALE -> scripts/verify_all.py
- GAP-013 | Offline reproduction | STALE -> scripts/verify_all.py
- GAP-014 | Publication gate on every live page | STALE -> scripts/verify_all.py
- GAP-015 | Index currency | STALE -> scripts/verify_all.py
- GAP-016 | Served-artefact leak scan | STALE -> scripts/verify_all.py
- GAP-017 | Held-out detector | STALE -> scripts/verify_all.py
- GAP-018 | Fix-state discipline | STALE -> scripts/verify_all.py
- GAP-019 | Honest-state ratchet | STALE -> scripts/verify_all.py
- GAP-020 | Reproduction census Level A | CURRENT
- GAP-021 | Reproduction census Level B | CURRENT
- GAP-022 | Canonical claim object | CURRENT
- GAP-023 | Proposition gate | CURRENT
- GAP-024 | Compatibility key backstop | CURRENT
- GAP-025 | Interval-provenance gate | CURRENT
- GAP-026 | Retrieval ledger and run states | STALE -> docs/evidence/search-acquisition-2026-09-14/README.md
- GAP-027 | Structural query classifier + third state | CURRENT
- GAP-028 | Absence-state ontology | CURRENT
- GAP-029 | GRADE unassessed-domain cap | CURRENT
- GAP-030 | `check_limb1` | CURRENT
- GAP-031 | `check_cache_tracked` | CURRENT
- GAP-032 | `check_reproduction` | CURRENT
- GAP-033 | `check_primary_result` | CURRENT
- GAP-034 | `check_pooled_verified` | CURRENT
- GAP-035 | `check_manuscript_numbers` | CURRENT
- GAP-036 | `check_fetch_complete` | CURRENT
- GAP-037 | `check_access_claim_supported` | CURRENT
- GAP-038 | `check_parity_our_k` | CURRENT
- GAP-039 | `check_no_double_counted_trial` | CURRENT
- GAP-040 | `check_pivotal_present` | CURRENT
- GAP-041 | `check_controls` | CURRENT
- GAP-042 | `check_cross_source` | CURRENT
- GAP-043 | `check_retraction` | CURRENT
- GAP-044 | `check_duplicate_publication` | CURRENT
- GAP-045 | `check_prespecification_in_protocol` | CURRENT
- GAP-046 | `check_population_identity` | CURRENT
- GAP-047 | `check_method_matches_scale` | CURRENT
- GAP-048 | `check_preregistration_not_build` | CURRENT
- GAP-049 | `check_limb2` | CURRENT
