   sacubitril-valsartan-hfref                   ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   dapagliflozin-hfpef-hosp                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k None->None withdrawn True->True
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   empagliflozin-hfpef-hosp                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k None->None withdrawn True->True
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   glp1-ra-mace-t2d                             ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 8->8 withdrawn False->False
      ADDED  [banner] Check this page yourself. Two programs check this page. Each is standard-library Python served from this site;
   balanced-crystalloids-vs-saline-mortality    ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   colchicine-postop-af                         ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   colchicine-recurrent-pericarditis            ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   colchicine-secondary-cv-prevention           ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   corticosteroids-cap-mortality                ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   corticosteroids-covid19-mortality            ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   denosumab-vertebral-fracture                 ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   doac-vte-recurrence                          ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 6->6 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   dpp4-mace-t2d                                ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   esketamine-trd-madrs                         ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   finerenone-ckd-t2d-renal                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   iv-iron-hfref-hosp                           ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   melatonin-primary-insomnia-sol               ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   metformin-pcos-ovulation                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   noac-vs-warfarin-af-stroke                   ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 4->4 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   omega3-cardiovascular-events                 ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 5->5 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   pcsk9-mace                                   ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   probiotics-aad-prevention                    ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 11->11 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   semaglutide-obesity-mace                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   semaglutide-obesity-weight                   ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   sglt2-ckd-progression                        ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   sglt2-hfref-hosp-cvdeath                     ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
