Served-bytes confirmation of the fifteen restored 'Search provenance' blocks
Fetched 2026-09-14T22:21:46Z from https://mahmood726-cyber.github.io/meta-harness/reviews/<slug>/ (served main = 34747bd6; production record for 34747bd6 verdict ATTESTED).
Method: full response body hashed; the block located by its exact heading; adapter status, discovery sentence and retraction sentence read from the block text (tags stripped).

slug | served page sha256 | registry_first_status in block | lost-block status (regeneration accounting) | discovery sentence | retraction sentence
corticosteroids-cap-mortality | c01feda76c4ae5a98e9f1f075f98ace96276738b85a06045776f96faebacb6a4 | NOT_RUN | NOT_RUN | present | present
dapagliflozin-hfpef-hosp | cc85e5f39c9dabe7a859c9ab49238787fa0fc35c8092ccb3e0761e192394be4d | RAN_OK | RAN_OK | present | present
doac-vte-recurrence | e0d003b3d99a7778b2cf10a1df7846d6972c9d9c1fb36c49ab846e1d62f1603c | RAN_ERROR | RAN_ERROR | present | present
dpp4-mace-t2d | ae1b08d083447bd846ff89dca38dcb42deed0a8713e29a5da420ae0a8c7e33bc | RAN_ERROR | RAN_ERROR | present | present
empagliflozin-hfpef-hosp | afc29d302ddcf9e2e43e8f01e6ad3fb7f3b0877ec34ac227e36aac2107f543e2 | RAN_OK | RAN_OK | present | present
esketamine-trd-madrs | db1d4132e38b004936d2eb04412de9668f54b7da511311461f069eeec4d6d9f7 | RAN_ERROR | RAN_ERROR | present | present
iv-iron-hfref-hosp | 7feac2c38cc2f6efe8776ec19482e2c9053644faaf7c2eabafedb2657a202111 | NOT_RUN | NOT_RUN | present | present
melatonin-primary-insomnia-sol | c5bc05de3cc1d477886e4720eaf2f4d13e30edd9d4e5357a7b0ddb89ea486804 | RAN_ERROR | RAN_ERROR | present | present
metformin-pcos-ovulation | aaf08de158d6e1822d86c28009722a203b0b5cf872939316d2038072045630a2 | NOT_RUN | NOT_RUN | present | present
sacubitril-valsartan-hfref | b743f3a44e64b8372eddff97cab77a72e9e4af4759c5c5d49bc80cc0e234409b | NOT_RUN | NOT_RUN | present | present
semaglutide-obesity-weight | b8665826b7fa8c57a00fe6b4cfd7b53e1864199c99b0101191f71b18f8b0bc26 | RAN_ERROR | RAN_ERROR | present | present
sglt2-ckd-progression | b6c2ae8ab8ce02aa64fdae01480f0b04b971620633f05f805325766da0e8bb37 | RAN_OK | RAN_OK | present | present
sglt2-hfref-hosp-cvdeath | a0abd0a6a1ed6f5602dc1455ba2bdff02caec09b5007d37b29be201b139c9874 | RAN_OK | RAN_OK | present | present
sglt2-primary-prevention-hf | 3fed2f436e611ea836b2159057c55fef60cf2bb28f59739083161d0cc7dcd348 | RAN_ERROR | RAN_ERROR | present | present
spironolactone-hfref-mortality | 1af2be6158bcd9e5f90d5b47ea1fb085552e20e392b41d1d672f270235fccd8b | RAN_OK | RAN_OK | present | present

Result: 15 of 15 served pages carry the full block with the adapter status identical to the lost block. A zero here would read as not observed.
