Before/after hazard consumer wiring table

kind | evidence_state | before | after | outcome
AUDITABILITY_SCOPE | RECORDED | UNWIRED count=64 gate=null | UNWIRED count=64 gate=null | left UNWIRED and acknowledged
CLAIM_CHECK_ZERO | NOT_RUN | WIRED count=1 gate=invalidation.assess | WIRED count=1 gate=invalidation.assess | pre-existing executable consumer
DECLARED_ABSENT_SECTION | DECLARED_ABSENT | UNWIRED count=37 gate=null | UNWIRED count=37 gate=null | left UNWIRED and acknowledged
DECLARED_ABSENT_SECTION | UNKNOWN | UNWIRED count=6 gate=null | UNWIRED count=6 gate=null | left UNWIRED and acknowledged
DECLARED_STRANDS | REFUSED_ON_EVIDENCE | UNWIRED count=1 gate=null | UNWIRED count=1 gate=null | left UNWIRED and acknowledged
DEFINITION_AUDIT | PARTIAL | UNWIRED count=15 gate=null | UNWIRED count=15 gate=null | left UNWIRED and acknowledged
FUNDING_COI | PARTIAL | UNWIRED count=18 gate=null | UNWIRED count=18 gate=null | left UNWIRED and acknowledged
FUNDING_COI | RECORDED | UNWIRED count=14 gate=null | UNWIRED count=14 gate=null | left UNWIRED and acknowledged
GRADE_CERTAINTY | NOT_ASSESSED | UNWIRED count=1 gate=null | UNWIRED count=1 gate=null | left UNWIRED and acknowledged
GRADE_CERTAINTY | PROVISIONAL | UNWIRED count=31 gate=null | UNWIRED count=31 gate=null | left UNWIRED and acknowledged
IDENTIFIER_SCOPE | REFUSED_ON_EVIDENCE | WIRED count=2 gate=invalidation.assess | WIRED count=2 gate=invalidation.assess | pre-existing executable consumer
RANDOMISED_CONTRAST | PARTIAL | WIRED count=12 gate=compat.outcome_key | WIRED count=12 gate=compat.outcome_key | pre-existing executable consumer
RANDOMISED_CONTRAST | RECORDED | WIRED count=20 gate=compat.outcome_key | WIRED count=20 gate=compat.outcome_key | pre-existing executable consumer
REPRODUCTION_RETRACTION | RETRACTED | UNWIRED count=32 gate=null | UNWIRED count=32 gate=null | left UNWIRED and acknowledged
RETRIEVAL_CLASS | NOT_RUN | UNWIRED count=22 gate=null | WIRED count=22 gate=invalidation.assess | wired in TRANCHE-hazard-consumers
RETRIEVAL_CLASS | UNRECORDED | UNWIRED count=42 gate=null | WIRED count=42 gate=invalidation.assess | wired in TRANCHE-hazard-consumers
RETRIEVAL_SNAPSHOT | RECORDED | UNWIRED count=13 gate=null | UNWIRED count=13 gate=null | left UNWIRED and acknowledged
RETRIEVAL_SNAPSHOT | UNRECORDED | UNWIRED count=19 gate=null | UNWIRED count=19 gate=null | left UNWIRED and acknowledged
ROB_SENSITIVITY | PARTIAL | UNWIRED count=31 gate=null | UNWIRED count=31 gate=null | left UNWIRED and acknowledged
ROB_SPANCHECK | RECORDED | UNWIRED count=32 gate=null | UNWIRED count=32 gate=null | left UNWIRED and acknowledged
SEARCH_ENUMERATION_ONLY | NOT_RUN | UNWIRED count=11 gate=null | WIRED count=11 gate=invalidation.assess | wired in TRANCHE-hazard-consumers
SEARCH_PROVENANCE | RETRACTED | UNWIRED count=32 gate=null | WIRED count=32 gate=invalidation.assess | wired in TRANCHE-hazard-consumers
STALE_TOPIC | STALE | WIRED count=29 gate=invalidation.assess | WIRED count=32 gate=invalidation.assess | pre-existing executable consumer
SUPPRESSED_POOL | SUPPRESSED | WIRED count=2 gate=estmeasure.pool_compatibility | WIRED count=2 gate=estmeasure.pool_compatibility | pre-existing executable consumer
UNIT_OF_ANALYSIS | NOT_ASSESSED | WIRED count=3 gate=design_key.decision_for_trial | WIRED count=3 gate=design_key.decision_for_trial | pre-existing executable consumer
UNIT_OF_ANALYSIS | REFUSED_ON_EVIDENCE | WIRED count=1 gate=design_key.decision_for_trial | WIRED count=1 gate=design_key.decision_for_trial | pre-existing executable consumer

Final UNWIRED pairs: (AUDITABILITY_SCOPE,RECORDED), (DECLARED_ABSENT_SECTION,DECLARED_ABSENT), (DECLARED_ABSENT_SECTION,UNKNOWN), (DECLARED_STRANDS,REFUSED_ON_EVIDENCE), (DEFINITION_AUDIT,PARTIAL), (FUNDING_COI,PARTIAL), (FUNDING_COI,RECORDED), (GRADE_CERTAINTY,NOT_ASSESSED), (GRADE_CERTAINTY,PROVISIONAL), (REPRODUCTION_RETRACTION,RETRACTED), (RETRIEVAL_SNAPSHOT,RECORDED), (RETRIEVAL_SNAPSHOT,UNRECORDED), (ROB_SENSITIVITY,PARTIAL), (ROB_SPANCHECK,RECORDED)
