Hazard consumer acknowledgements

ack_id | kind | evidence_state | matched_unwired_objects | signed_by | date | tranche | reason
HC-AUDITABILITY_SCOPE-RECORDED | AUDITABILITY_SCOPE | RECORDED | 64 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Auditability scope is a page-level provenance disclosure; no analytic gate changes its verdict when this recorded note is present.
HC-DECLARED_ABSENT_SECTION-DECLARED_ABSENT | DECLARED_ABSENT_SECTION | DECLARED_ABSENT | 37 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Declared section or outcome absence is already the visible scoped result; no single analytic gate consumes every such absence object.
HC-DECLARED_ABSENT_SECTION-NOT_ASSESSED | DECLARED_ABSENT_SECTION | NOT_ASSESSED | 0 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | The object records an empty assessment scope rather than a poolable analytic state; no executable gate changes on this section-level absence.
HC-DECLARED_ABSENT_SECTION-UNKNOWN | DECLARED_ABSENT_SECTION | UNKNOWN | 6 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Unknown section or outcome absence is a declared limitation of the rendered surface; no single analytic gate consumes all such unknown absences.
HC-DECLARED_STRANDS-REFUSED_ON_EVIDENCE | DECLARED_STRANDS | REFUSED_ON_EVIDENCE | 1 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | The consuming gate is on the paired SUPPRESSED_POOL object; the strands object is the visible endpoint-clean decomposition after that refusal.
HC-DEFINITION_AUDIT-PARTIAL | DEFINITION_AUDIT | PARTIAL | 15 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Definition heterogeneity is disclosed in the audit table, but this tranche found no executable analytic gate that changes on the partial audit state.
HC-FUNDING_COI-PARTIAL | FUNDING_COI | PARTIAL | 18 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Funding and conflict-of-interest are disclosed for interpretation; the harness does not estimate a per-trial funding adjustment and no analytic gate consumes the partial state.
HC-FUNDING_COI-RECORDED | FUNDING_COI | RECORDED | 14 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Funding and conflict-of-interest are disclosed for interpretation; the harness does not estimate a per-trial funding adjustment and no analytic gate consumes the recorded state.
HC-GRADE_CERTAINTY-NOT_ASSESSED | GRADE_CERTAINTY | NOT_ASSESSED | 1 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | GRADE certainty is a downstream label rather than a publication gate; no executable analytic gate changes on the not-assessed certainty state.
HC-GRADE_CERTAINTY-PROVISIONAL | GRADE_CERTAINTY | PROVISIONAL | 31 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | GRADE certainty is a downstream label rather than a publication gate; no executable analytic gate changes on the provisional certainty state.
HC-REPRODUCTION_RETRACTION-RETRACTED | REPRODUCTION_RETRACTION | RETRACTED | 32 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | The old byte-for-byte reproduction claim is visibly withdrawn; no current analytic gate consumes the withdrawn historical claim.
HC-RETRIEVAL_SNAPSHOT-RECORDED | RETRIEVAL_SNAPSHOT | RECORDED | 13 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | The retrieval snapshot records replay provenance; by itself it does not constrain the pooled analytic claim.
HC-RETRIEVAL_SNAPSHOT-UNRECORDED | RETRIEVAL_SNAPSHOT | UNRECORDED | 19 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | The legacy retrieval snapshot records a replay boundary; by itself it does not constrain the pooled analytic claim.
HC-ROB_SENSITIVITY-PARTIAL | ROB_SENSITIVITY | PARTIAL | 31 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | Risk-of-bias sensitivity is rendered as an interpretive disclosure; no executable analytic gate changes on the partial state.
HC-ROB_SPANCHECK-RECORDED | ROB_SPANCHECK | RECORDED | 32 | Codex lane AD | 2026-09-15 | TRANCHE-hazard-consumers | RoB span-check is a reliability disclosure; no executable analytic gate changes on the recorded state.
